u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
643946,1675168064,0,30831675,unclassified,1,20 mph,Bridge Street,True,,False,23.362637534915045,"LINESTRING (430638.08778570016 433696.139371668, 430635.51639017696 433709.64112562616, 430635.0456468883 433712.13035974465, 430633.8670016974 433719.1322793114)",,,,,
643946,8273166694,0,845622689,trunk,3,30 mph,Eastgate,True,A61,False,24.750112339167448,"LINESTRING (430638.08778570016 433696.139371668, 430640.901085333 433703.10058704414, 430645.59217642696 433708.97255231906, 430649.8854408467 433712.2161022158, 430653.8517167374 433714.0889776362)",roundabout,,,,
1675168064,9791699,0,30831675,unclassified,1,20 mph,Bridge Street,True,,False,18.033943825498728,"LINESTRING (430633.8670016974 433719.1322793114, 430632.6696687864 433726.979681185, 430630.2738261808 433736.7997562917)",,,,,
1675168064,8273166694,0,616128591,tertiary,2,20 mph,Lady Lane,True,,False,20.5715214428348,"LINESTRING (430633.8670016974 433719.1322793114, 430641.04263394454 433717.74381028407, 430653.8517167374 433714.0889776362)",,,,,
8273166694,643945,0,890039689,trunk,3,30 mph,Eastgate,True,A61,False,1.0059210188022942,"LINESTRING (430653.8517167374 433714.0889776362, 430654.7644997555 433714.51774024265)",roundabout,,,,
643951,659971029,0,51704587,trunk,3,30 mph,Regent Street,True,A61,False,23.943847710949036,"LINESTRING (430756.0181038312 433783.9855264515, 430737.6563266361 433768.54424234026)",,,,,
659971029,6211583013,0,663639116,trunk,2,30 mph,Regent Street,True,A61,False,93.3221438844556,"LINESTRING (430737.6563266361 433768.54424234026, 430723.08554996195 433760.59363659995, 430718.172115427 433756.51148219046, 430705.55355638964 433743.132912826, 430698.1107024477 433729.9884971988, 430693.1930489101 433720.49892697565, 430691.45182803395 433714.80196797405, 430690.1959057674 433709.4308471774, 430688.6396448448 433702.6447145485, 430688.95439027826 433694.80268262466)",,,,,
659971029,1022749752,0,"[663639115, 663639118, 491178799]",trunk,"['2', '3']",30 mph,Regent Street,True,A61,False,114.16866290137615,"LINESTRING (430737.6563266361 433768.54424234026, 430715.14757916785 433746.62260089396, 430704.3013648846 433729.1388760824, 430699.6097304949 433712.2851212687, 430698.0457718792 433706.67833005544, 430696.90612068574 433700.6515120877, 430696.33703843126 433697.0205946588, 430694.5216069415 433689.57630969153, 430693.0067898546 433681.4886617471, 430693.26490221056 433668.20546612586)",,,,,
9791130,11264550802,0,38925748,living_street,1,20 mph,City Square,True,,False,100.67493234189126,"LINESTRING (429823.14775235957 433404.2434998902, 429824.9526827327 433404.24383846286, 429841.63824926974 433404.27197376813, 429861.9797159496 433404.31229274813, 429874.82040439325 433401.93505652633, 429907.5630989623 433400.34104014654, 429917.49982012284 433400.905031626, 429923.83453889884 433401.26806458493)",,no,,,
9791509,4621501066,0,609734125,tertiary,2,20 mph,Calverley Street,True,,False,35.916417900692004,"LINESTRING (429795.46451520995 433923.7015111047, 429795.407669434 433959.63926519477)",,,,,
9791509,44977061,0,175145751,tertiary,2,30 mph,Great George Street,True,,False,116.86803311885018,"LINESTRING (429795.46451520995 433923.7015111047, 429831.6616774445 433925.1886713506, 429836.55427146587 433925.38666023395, 429895.9726511628 433930.47113435087, 429912.1500957699 433933.45591371064)",,,,,
9791509,10981685393,0,1396455638,unclassified,2,30 mph,Calverley Street,False,,True,37.655581780472595,"LINESTRING (429795.46451520995 433923.7015111047, 429795.7099643872 433915.1246523571, 429795.95583791006 433906.48103831767, 429796.1575926789 433890.2600996295, 429796.1251494 433886.031880531)",,,,,
4621501066,54568263,0,5944444,tertiary,2,20 mph,Calverley Street,True,,False,21.497169562840753,"LINESTRING (429795.407669434 433959.63926519477, 429795.29532193043 433965.9249408409, 429795.37056815944 433971.71112137614, 429795.48851436964 433981.1470164411)",,,,,
