osmid,y,x,street_count,highway,junction,geometry
250932749,434356.5723053509,430438.7651378013,3,,,POINT (430438.7651378013 434356.5723053509)
250961842,434202.6001784401,430619.2584215151,3,,,POINT (430619.2584215151 434202.6001784401)
3043472124,434392.12557121343,430308.7976078008,2,,,POINT (430308.7976078008 434392.12557121343)
298186494,433543.4375347545,429730.7154304044,4,,yes,POINT (429730.7154304044 433543.4375347545)
10002624792,433483.16643907817,429795.7046617876,1,,,POINT (429795.7046617876 433483.16643907817)
298186515,434257.59217830724,429916.15051879425,4,,,POINT (429916.15051879425 434257.59217830724)
1377189433,434278.50749457243,429924.5264770788,3,,,POINT (429924.5264770788 434278.50749457243)
664210230,434294.994249829,429952.0434432482,3,,,POINT (429952.0434432482 434294.994249829)
52681726,434411.3437993375,430047.9692746677,3,,,POINT (430047.9692746677 434411.3437993375)
9755805559,433489.7981876313,430373.9752989121,3,,,POINT (430373.9752989121 433489.7981876313)
9319419235,433451.2581100917,430571.35599327215,2,,,POINT (430571.35599327215 433451.2581100917)
3071035464,434152.68663610844,430619.162519241,3,,,POINT (430619.162519241 434152.68663610844)
304904884,434288.54937523906,430714.30181268824,3,,,POINT (430714.30181268824 434288.54937523906)
13005195586,434304.86391903495,430665.45793177164,4,,,POINT (430665.45793177164 434304.86391903495)
304904886,434360.21089491027,430863.0193863221,3,,,POINT (430863.0193863221 434360.21089491027)
320952835,433233.901888515,430734.52998757455,3,,,POINT (430734.52998757455 433233.901888515)
321000275,433303.8427200954,430576.1366881049,3,,,POINT (430576.1366881049 433303.8427200954)
317087689,433315.5941879095,430576.44881737756,3,,,POINT (430576.44881737756 433315.5941879095)
320951154,433291.6771096467,430530.99259101925,3,,,POINT (430530.99259101925 433291.6771096467)
320943570,433339.6004581131,430620.1583270464,3,,yes,POINT (430620.1583270464 433339.6004581131)
321000277,433325.99174594495,430594.3780767687,3,,,POINT (430594.3780767687 433325.99174594495)
