editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Jon Harald Søby,112,0.75,0.5,0.001326259946949602,0.5,67,0.04428904428904429,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5164042286889452,0.07432432432432433,0.21441018863598507,0.4067384052880688,91,lower
Hsarrazin,90,0.75,0.5,0.003978779840848806,0.5,71,0.04588607594936709,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4886874546841498,0.07882882882882883,0.22228541504344046,0.40672728233743216,92,lower
Haansn08,113,0.75,0.5,0.002652519893899204,0.5,62,0.04425465838509317,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5175320360840343,0.0686936936936937,0.21424062607466093,0.406488506456084,93,lower
Mike Peel,112,0.75,0.5,0.002652519893899204,0.5,62,0.04266873545384019,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5164042286889452,0.0686936936936937,0.20642017864166012,0.40604109371467945,94,lower
Hym411,76,0.75,0.5,0.007957559681697613,0.5,64,0.041401273885350316,1,"{'Cycn': 1, 'Pütz M.': 2}",0.46730364457525936,0.07094594594594594,0.20017011669073503,0.40455979459423386,95,lower
Eihel,105,0.75,0.5,0.004641909814323607,0.5,54,0.03965785381026438,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5082184522901506,0.059684684684684686,0.19157302487614358,0.4043864242896479,96,lower
LadyInGrey,77,0.75,0.5,0.003978779840848806,0.5,67,0.04219745222929936,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4689553489279278,0.07432432432432433,0.20409620336458612,0.4043807660152279,97,lower
Martin Urbanec,96,0.75,0.5,0.001989389920424403,0.5,58,0.039937353171495694,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4968607822318492,0.06418918918918919,0.19295128230529865,0.40380740012986116,98,lower
轻语者,103,0.75,0.5,0.002652519893899204,0.5,53,0.038910505836575876,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5057801821634922,0.05855855855855856,0.18788772880833715,0.40356975538322715,99,lower
BRPever,78,0.75,0.5,0.001989389920424403,0.5,56,0.03968253968253968,1,"{'Cycn': 1, 'Pütz M.': 2}",0.47058601188804683,0.061936936936936936,0.19169475498210417,0.40220561002128613,100,lower
Steak,73,0.75,0.5,0.001326259946949602,0.5,57,0.0398406374501992,1,"{'Cycn': 1, 'Pütz M.': 2}",0.46221667143587414,0.06306306306306306,0.19247436113880387,0.4018061099244301,101,lower
YMS,75,0.75,0.5,0.004641909814323607,0.5,56,0.03647898493259318,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4656303487050756,0.061936936936936936,0.1758974983645313,0.4016984680100387,102,lower
Whym,101,0.75,0.5,0.001326259946949602,0.5,52,0.03333333333333333,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5032945640387775,0.057432432432432436,0.16038577172904422,0.4016925120210243,103,lower
Multichill,65,0.75,0.5,0.000663129973474801,0.5,60,0.040930979133226325,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4475715388190372,0.06644144144144144,0.19785101573411035,0.4015478978664965,104,lower
ZI Jony,74,0.75,0.5,0.0033156498673740055,0.5,51,0.03733121525019857,1,"{'Cycn': 1, 'Pütz M.': 2}",0.46393488933188676,0.05630630630630631,0.1800999865613423,0.40099550439876686,105,lower
Stanglavine,110,0.75,0.5,0.001989389920424403,0.5,41,0.029141104294478526,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5141183588148328,0.04504504504504504,0.13971319919769098,0.4000939603892155,106,lower
Kolja21,74,0.75,0.5,0.005968169761273209,0.5,49,0.030781373322809787,1,"{'Cycn': 1, 'Pütz M.': 2}",0.46393488933188676,0.05405405405405406,0.14780163619501047,0.3996858656340049,107,lower
AttoRenato,44,0.75,0.5,0.016578249336870028,0.5,53,0.032362459546925564,1,"{'Cycn': 1, 'Pütz M.': 2}",0.3985464963489046,0.05855855855855856,0.15559823302772677,0.39937874219206143,108,lower
PLbot,72,0.75,0.5,0.003978779840848806,0.5,44,0.03246239113222486,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4604750757092264,0.04842342342342342,0.15609101214979432,0.3989664027034631,109,lower
علاء,85,0.75,0.5,0.000663129973474801,0.5,43,0.031323414252153486,1,"{'Cycn': 1, 'Pütz M.': 2}",0.48145359161793616,0.0472972972972973,0.15047452937974942,0.39895876177430895,110,lower
Jdforrester,70,0.75,0.5,0.001326259946949602,0.5,48,0.030878859857482184,1,"{'Cycn': 1, 'Pütz M.': 2}",0.45691914395831346,0.05292792792792793,0.14828235836933992,0.39831811989856536,111,lower
King jakob c 2,70,0.75,0.5,0.0033156498673740055,0.5,44,0.030878859857482184,1,"{'Cycn': 1, 'Pütz M.': 2}",0.45691914395831346,0.04842342342342342,0.14828235836933992,0.3982655474321998,112,lower
Kostas20142,75,0.75,0.5,0.000663129973474801,0.5,44,0.030757097791798107,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4656303487050756,0.04842342342342342,0.1476819295494706,0.39814058224976456,113,lower
Kam Solusar,63,0.75,0.5,0.000663129973474801,0.5,48,0.03187250996015936,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4436326030726158,0.05292792792792793,0.153182210841139,0.3977661594831754,114,lower
Rockpeterson,82,0.75,0.5,0.001326259946949602,0.5,39,0.028169014084507043,1,"{'Cycn': 1, 'Pütz M.': 2}",0.47690854690927786,0.04279279279279279,0.13491966211123843,0.397635941719695,115,lower
Syrio,58,0.75,0.5,0.005968169761273209,0.5,45,0.03035143769968051,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4332199291725617,0.04954954954954955,0.14568155275715983,0.39759366300369564,116,lower
Hasley,71,0.75,0.5,0.000663129973474801,0.5,42,0.030854430379746837,1,"{'Cycn': 1, 'Pütz M.': 2}",0.45870945721601003,0.04617117117117117,0.14816189258712564,0.3975933106019688,117,lower
George.Edward.C,48,0.75,0.5,0.01790450928381963,0.5,41,0.026463512429831595,1,"{'Cycn': 1, 'Pütz M.': 2}",0.409447148113931,0.04504504504504504,0.12650955227901123,0.3973832413809155,118,lower
ArthurPSmith,65,0.75,0.5,0.000663129973474801,0.5,44,0.031001589825119236,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4475715388190372,0.04842342342342342,0.14888756007330997,0.3972979232816546,119,lower
UWashPrincipalCataloger,69,0.75,0.5,0.001989389920424403,0.5,41,0.029272151898734177,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4551034353406912,0.04504504504504504,0.1403594165390925,0.39717552508257853,120,lower
Brya,51,0.75,0.5,0.004641909814323607,0.5,50,0.030522088353413655,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4170536615489691,0.05518018018018018,0.14652305926458697,0.3971252360215606,121,lower
EugeneZelenko,60,0.75,0.5,0.001326259946949602,0.5,44,0.03112529928172386,1,"{'Cycn': 1, 'Pütz M.': 2}",0.4374871680260725,0.04842342342342342,0.14949759179885996,0.39695683232297885,122,lower
Queryzo,54,0.75,0.5,0.001326259946949602,0.5,43,0.029623698959167333,1,"{'Cycn': 1, 'Pütz M.': 2}",0.42423341118749636,0.0472972972972973,0.14209295305096536,0.39581129993104275,123,lower
