editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
2le2im-bdc,1,0.05712685614512503,1.0,3
Abián,1,0.05712685614512503,1.0,3
Anonymous_username_944,1,0.05712685614512503,1.0,3
Anonymous_username_953,1,0.05712685614512503,1.0,3
B20180,1,0.05712685614512503,1.0,3
Bvatant,1,0.05712685614512503,1.0,3
DaddyCell,1,0.05712685614512503,1.0,3
Dominic,1,0.05712685614512503,1.0,3
EdouardHue,1,0.05712685614512503,1.0,3
Geopersona,1,0.05712685614512503,1.0,3
Karl Gruber,1,0.05712685614512503,1.0,3
Neo-Jay,1,0.05712685614512503,1.0,3
Omegatron,1,0.05712685614512503,1.0,3
Peuc,1,0.05712685614512503,1.0,3
Prburley,1,0.05712685614512503,1.0,3
Rhododendrites,1,0.05712685614512503,1.0,3
Riley AJ,1,0.05712685614512503,1.0,3
Sannita (mySociety),1,0.05712685614512503,1.0,3
Suisui,1,0.05712685614512503,1.0,3
Turaids,1,0.05712685614512503,1.0,3
Tuvalkin,1,0.05712685614512503,1.0,3
VEILLG1,1,0.05712685614512503,1.0,3
VVenema,1,0.05712685614512503,1.0,3
Vsmith,1,0.05712685614512503,1.0,3
Whym,1,0.05712685614512503,1.0,3
Anonymous_username_952,1,0.05712685614512503,1.0,2
Capmo,1,0.05712685614512503,1.0,2
Ccdb.me,1,0.05712685614512503,1.0,2
Ckubosch,1,0.05712685614512503,1.0,2
Geagea,1,0.05712685614512503,1.0,2
HakanIST,1,0.05712685614512503,1.0,2
Hlachwayo Navelo,1,0.05712685614512503,1.0,2
Klein Muçi,1,0.05712685614512503,1.0,2
Korimako,1,0.05712685614512503,1.0,2
Lombres,1,0.05712685614512503,1.0,2
Quilt Phase,1,0.05712685614512503,1.0,2
Roy17,1,0.05712685614512503,1.0,2
Shinyang-i,1,0.05712685614512503,1.0,2
Viruscorona2020,1,0.05712685614512503,1.0,2
Antidote2020,1,0.05712685614512503,1.0,1
Anton Sachs,1,0.05712685614512503,1.0,1
Dantiras,1,0.05712685614512503,1.0,1
Dvorapa,1,0.05712685614512503,1.0,1
Edoardo88,1,0.05712685614512503,1.0,1
Exj,1,0.05712685614512503,1.0,1
For (&#59;&#59;),1,0.05712685614512503,1.0,1
Hddty.,1,0.05712685614512503,1.0,1
LPfi,1,0.05712685614512503,1.0,1
Léna,1,0.05712685614512503,1.0,1
Marc_André_Miron,1,0.05712685614512503,1.0,1
Pitke,1,0.05712685614512503,1.0,1
Symac,1,0.05712685614512503,1.0,1
Thisismattmiller,1,0.05712685614512503,1.0,1
